Time,hares,foxes
19.2,1415.6688,4.6936903
19.3,1421.0096,4.684742
19.4,1426.3712,4.6759357
19.5,1431.7537,4.667271
19.6,1437.1571,4.6587486
19.7,1442.5814,4.6503673
19.8,1448.0269,4.6421275
19.9,1453.4935,4.6340284
20,1458.9813,4.62607
20.1,1464.4905,4.6182523
20.2,1470.0209,4.610575
20.3,1475.5729,4.6030383
20.4,1481.1464,4.595642
20.5,1486.7413,4.588385
20.6,1492.3582,4.5812683
20.7,1497.9966,4.574291
20.8,1503.6569,4.567454
20.9,1509.3391,4.5607557
21,1515.0432,4.5541973
21.1,1520.7694,4.5477786
21.2,1526.5178,4.5414987
21.3,1532.2883,4.5353584
21.4,1538.0812,4.529357
21.5,1543.8964,4.523495
21.6,1549.734,4.517772
21.7,1555.5941,4.5121884
21.8,1561.4769,4.5067444
21.9,1567.3823,4.501439
22,1573.3104,4.496273
22.1,1579.2614,4.4912467
22.2,1585.2352,4.486359
22.3,1591.232,4.4816113
22.4,1597.252,4.477003
22.5,1603.295,4.4725347
22.6,1609.3613,4.4682055
22.7,1615.4508,4.4640164
22.8,1621.5638,4.459967
22.9,1627.7002,4.4560585
23,1633.8601,4.4522896
23.1,1640.0437,4.4486613
23.2,1646.2509,4.4451737
23.3,1652.4819,4.4418273
23.4,1658.7368,4.4386215
23.5,1665.0156,4.435557
23.6,1671.3184,4.4326344
23.7,1677.6453,4.4298534
23.8,1683.9965,4.427214
23.9,1690.3718,4.424718
24,1696.7715,4.4223638
24.1,1703.1956,4.4201527
24.2,1709.6442,4.418085
24.3,1716.1174,4.416161
24.4,1722.6154,4.4143806
24.5,1729.138,4.412745
24.6,1735.6854,4.411254
24.7,1742.2578,4.4099083
24.8,1748.8552,4.4087076
24.9,1755.4777,4.4076533
25,1762.1252,4.4067454
25.1,1768.7982,4.405985
25.2,1775.4963,4.405371
25.3,1782.22,4.4049053
25.4,1788.9691,4.404588
25.5,1795.7438,4.40442
25.6,1802.5442,4.404401
25.7,1809.3702,4.404532
25.8,1816.2222,4.404814
25.9,1823.1001,4.4052467
26,1830.0039,4.405832
26.1,1836.9338,4.406569
26.2,1843.89,4.4074597
26.3,1850.8723,4.408504
26.4,1857.881,4.409703
26.5,1864.9161,4.4110565
26.6,1871.9778,4.412566
26.7,1879.0659,4.4142327
26.8,1886.1808,4.416057
26.9,1893.3225,4.418039
27,1900.491,4.4201803
27.1,1907.6864,4.422481
27.2,1914.9088,4.424943
27.3,1922.1583,4.4275665
27.4,1929.435,4.430352
27.5,1936.739,4.433301
27.6,1944.0703,4.4364147
27.7,1951.4292,4.439693
27.8,1958.8154,4.443138
27.9,1966.2294,4.44675
28,1973.671,4.45053
28.1,1981.1404,4.4544797
28.2,1988.6377,4.4585996
28.3,1996.1628,4.4628906
28.4,2003.7161,4.4673543
28.5,2011.2975,4.471992
28.6,2018.9071,4.4768043
28.7,2026.5449,4.4817924
28.8,2034.2112,4.486958
28.9,2041.9059,4.492302
29,2049.6292,4.4978256
29.1,2057.381,4.5035305
29.2,2065.1616,4.5094175
29.3,2072.9712,4.515488
29.4,2080.8096,4.5217443
29.5,2088.6768,4.5281863
29.6,2096.573,4.5348163
29.7,2104.4985,4.541636
29.8,2112.4534,4.548646
29.9,2120.4375,4.5558486
30,2128.451,4.5632453
30.1,2136.4937,4.5708375
30.2,2144.5662,4.5786266
30.3,2152.6685,4.5866146
30.4,2160.8003,4.594803
30.5,2168.962,4.6031933
30.6,2177.1536,4.6117873
30.7,2185.3752,4.6205873
30.8,2193.627,4.629595
30.9,2201.9087,4.6388116
31,2210.2207,4.648239
31.1,2218.563,4.6578803
31.2,2226.9358,4.667736
31.3,2235.339,4.6778092
31.4,2243.773,4.6881013
31.5,2252.2373,4.6986146
31.6,2260.7327,4.709351
31.7,2269.2585,4.7203126
31.8,2277.8157,4.731502
31.9,2286.4036,4.7429214
32,2295.0225,4.754573
32.1,2303.6724,4.7664585
32.2,2312.3538,4.778581
32.3,2321.0664,4.7909427
32.4,2329.8103,4.803546
32.5,2338.5857,4.8163934
32.6,2347.3926,4.8294873
32.7,2356.2312,4.8428307
32.8,2365.1016,4.856426
32.9,2374.0034,4.8702755
33,2382.9373,4.8843822
33.1,2391.903,4.8987494
33.2,2400.901,4.913379
33.3,2409.9307,4.9282746
33.4,2418.9927,4.9434395
33.5,2428.0867,4.9588757
33.6,2437.2134,4.9745865
33.7,2446.372,4.9905753
