Time,x[1],x[2],x[3]
0.000107,-0.10293024,0.08584337,0.035116874
0.000108,-0.10378691,0.0854897,0.03562013
0.000109,-0.10464001,0.08513098,0.03612438
0.00011,-0.1054895,0.08476722,0.036629565
0.000111,-0.106335334,0.084398404,0.03713564
0.000112,-0.10717745,0.08402452,0.03764255
0.000113,-0.108015805,0.08364557,0.03815026
0.000114,-0.10885034,0.083261535,0.038658727
0.000115,-0.109681,0.08287242,0.03916789
0.000116,-0.11050776,0.08247821,0.0396777
0.000117,-0.11133054,0.0820789,0.040188104
0.000118,-0.1121493,0.08167448,0.040699057
0.000119,-0.11296399,0.08126495,0.041210506
0.00012,-0.11377457,0.0808503,0.04172241
0.000121,-0.11458097,0.08043054,0.042234715
0.000122,-0.11538314,0.080005646,0.042747375
0.000123,-0.116181046,0.07957563,0.04326034
0.000124,-0.11697462,0.07914048,0.04377356
0.000125,-0.11776382,0.078700185,0.044286996
0.000126,-0.118548594,0.07825476,0.044800594
0.000127,-0.119328886,0.0778042,0.04531431
0.000128,-0.12010465,0.0773485,0.04582809
0.000129,-0.12087582,0.07688765,0.046341892
0.00013,-0.121642366,0.076421686,0.0468557
0.000131,-0.122404225,0.07595058,0.047369443
0.000132,-0.123161346,0.07547434,0.04788307
0.000133,-0.123913676,0.074992955,0.048396546
0.000134,-0.12466117,0.07450644,0.048909817
0.000135,-0.12540376,0.0740148,0.04942284
0.000136,-0.12614143,0.07351802,0.04993557
0.000137,-0.12687409,0.07301612,0.05044796
0.000138,-0.12760171,0.0725091,0.050959967
0.000139,-0.12832424,0.07199696,0.051471543
0.00014,-0.12904163,0.0714797,0.051982645
0.000141,-0.12975381,0.07095733,0.05249323
0.000142,-0.13046074,0.07042986,0.053003248
0.000143,-0.13116238,0.069897294,0.05351266
0.000144,-0.13185866,0.06935963,0.054021418
0.000145,-0.13254955,0.06881688,0.05452948
0.000146,-0.13323498,0.06826905,0.055036813
0.000147,-0.1339149,0.06771617,0.05554338
0.000148,-0.13458927,0.067158215,0.056049123
0.000149,-0.13525805,0.066595204,0.056554005
0.00015,-0.13592115,0.06602716,0.057057973
0.000151,-0.13657856,0.06545407,0.05756099
0.000152,-0.1372302,0.06487596,0.058063015
0.000153,-0.13787605,0.06429283,0.058564
0.000154,-0.13851604,0.0637047,0.059063904
0.000155,-0.13915011,0.06311157,0.059562687
0.000156,-0.13977824,0.06251347,0.060060307
0.000157,-0.14040036,0.061910387,0.060556717
0.000158,-0.14101642,0.06130235,0.06105188
0.000159,-0.14162639,0.060689364,0.06154575
0.00016,-0.1422302,0.060071446,0.062038284
0.000161,-0.1428278,0.059448607,0.062529445
0.000162,-0.14341915,0.058820866,0.063019186
0.000163,-0.1440042,0.058188237,0.06350749
0.000164,-0.1445829,0.05755073,0.063994296
0.000165,-0.14515519,0.05690836,0.06447957
0.000166,-0.14572103,0.056261152,0.06496326
0.000167,-0.1462804,0.05560911,0.06544533
0.000168,-0.1468332,0.054952256,0.06592575
0.000169,-0.14737941,0.054290608,0.066404454
0.00017,-0.14791898,0.05362418,0.06688143
0.000171,-0.14845188,0.05295299,0.06735662
0.000172,-0.14897802,0.05227706,0.06782999
0.000173,-0.14949739,0.051596403,0.0683015
0.000174,-0.15000993,0.05091104,0.06877111
0.000175,-0.1505156,0.05022099,0.069238774
0.000176,-0.15101433,0.049526274,0.06970446
0.000177,-0.1515061,0.04882691,0.07016812
0.000178,-0.15199086,0.04812292,0.07062972
0.000179,-0.15246855,0.047414325,0.07108923
0.00018,-0.15293913,0.046701144,0.071546614
0.000181,-0.15340254,0.045983404,0.072001815
0.000182,-0.15385877,0.04526112,0.0724548
0.000183,-0.15430774,0.04453432,0.07290554
0.000184,-0.15474944,0.04380302,0.07335398
0.000185,-0.15518378,0.04306725,0.073800094
0.000186,-0.15561076,0.04232703,0.074243836
0.000187,-0.1560303,0.041582383,0.07468517
0.000188,-0.15644237,0.04083334,0.07512406
0.000189,-0.15684696,0.040079914,0.07556047
0.00019,-0.15724395,0.03932214,0.07599436
0.000191,-0.15763338,0.03856004,0.07642568
0.000192,-0.15801515,0.03779364,0.07685441
0.000193,-0.15838923,0.037022963,0.0772805
0.000194,-0.15875559,0.03624804,0.077703916
0.000195,-0.15911417,0.035468895,0.078124635
0.000196,-0.15946494,0.034685556,0.078542605
0.000197,-0.15980786,0.033898056,0.0789578
0.000198,-0.16014288,0.033106416,0.07937018
0.000199,-0.16046996,0.032310665,0.0797797
0.0002,-0.16078907,0.031510834,0.08018633
0.000201,-0.16110016,0.030706951,0.080590025
0.000202,-0.1614032,0.029899048,0.08099076
0.000203,-0.16169812,0.02908715,0.081388496
0.000204,-0.16198492,0.028271291,0.0817832
0.000205,-0.16226353,0.0274515,0.08217482
0.000206,-0.16253392,0.026627809,0.08256334
0.000207,-0.16279607,0.025800247,0.082948714
0.000208,-0.1630499,0.024968846,0.08333091
0.000209,-0.16329543,0.024133641,0.08370988
0.00021,-0.16353257,0.023294661,0.08408561
0.000211,-0.1637613,0.02245194,0.08445805
0.000212,-0.16398159,0.021605512,0.084827185
0.000213,-0.16419339,0.02075541,0.08519296
0.000214,-0.16439669,0.019901665,0.08555535
0.000215,-0.16459142,0.019044315,0.08591432
0.000216,-0.16477755,0.018183392,0.08626983
0.000217,-0.16495506,0.01731893,0.08662186
0.000218,-0.16512391,0.016450966,0.08697036
0.000219,-0.16528407,0.015579536,0.0873153
0.00022,-0.16543548,0.014704673,0.08765665
0.000221,-0.16557814,0.013826415,0.087994374
0.000222,-0.165712,0.012944798,0.088328436
0.000223,-0.16583702,0.012059858,0.08865881
0.000224,-0.16595317,0.011171633,0.088985465
0.000225,-0.16606043,0.010280161,0.08930836
0.000226,-0.16615877,0.009385479,0.08962746
0.000227,-0.16624813,0.008487624,0.08994274
0.000228,-0.1663285,0.007586636,0.090254165
0.000229,-0.16639985,0.006682552,0.09056171
0.00023,-0.16646214,0.0057754116,0.09086534
0.000231,-0.16651534,0.0048652547,0.09116502
0.000232,-0.16655943,0.003952121,0.09146072
0.000233,-0.16659437,0.00303605,0.0917524
0.000234,-0.16662014,0.002117082,0.09204005
0.000235,-0.16663669,0.0011952582,0.092323616
0.000236,-0.16664402,0.0002706192,0.09260307
0.000237,-0.16664208,-0.00065679377,0.0928784
0.000238,-0.16663086,-0.0015869391,0.093149565
0.000239,-0.16661033,-0.002519775,0.09341653
0.00024,-0.16658045,-0.0034552591,0.09367926
0.000241,-0.16654122,-0.004393349,0.09393774
0.000242,-0.16649258,-0.005334002,0.09419193
0.000243,-0.16643453,-0.006277175,0.09444181
0.000244,-0.16636702,-0.007222825,0.094687335
0.000245,-0.16629006,-0.008170911,0.094928496
0.000246,-0.16620359,-0.009121386,0.095165245
0.000247,-0.16610761,-0.010074208,0.09539757
0.000248,-0.1660021,-0.01102933,0.09562543
0.000249,-0.16588701,-0.011986708,0.095848806
0.00025,-0.16576235,-0.012946297,0.09606766
0.000251,-0.16562808,-0.013908053,0.09628197
0.000252,-0.16548418,-0.014871929,0.0964917
0.000253,-0.16533062,-0.015837878,0.09669684
0.000254,-0.1651674,-0.016805856,0.09689735
0.000255,-0.1649945,-0.017775815,0.0970932
0.000256,-0.16481188,-0.01874771,0.09728437
0.000257,-0.16461952,-0.019721491,0.09747083
0.000258,-0.16441743,-0.020697115,0.097652555
0.000259,-0.16420558,-0.02167453,0.09782951
0.00026,-0.16398394,-0.02265369,0.09800169
0.000261,-0.1637525,-0.023634551,0.09816905
0.000262,-0.16351123,-0.024617063,0.09833158
0.000263,-0.16326013,-0.025601173,0.09848923
0.000264,-0.1629992,-0.026586838,0.098642
0.000265,-0.16272838,-0.027574005,0.09878985
0.000266,-0.1624477,-0.028562626,0.098932765
0.000267,-0.16215712,-0.02955265,0.09907071
0.000268,-0.16185664,-0.03054403,0.09920367
0.000269,-0.16154623,-0.031536713,0.09933162
0.00027,-0.16122589,-0.03253065,0.09945452
0.000271,-0.1608956,-0.033525795,0.09957237
0.000272,-0.16055536,-0.034522086,0.09968513
0.000273,-0.16020516,-0.035519484,0.099792786
0.000274,-0.15984496,-0.03651793,0.09989531
0.000275,-0.15947479,-0.037517376,0.099992685
0.000276,-0.1590946,-0.03851777,0.10008488
0.000277,-0.15870443,-0.03951906,0.10017188
0.000278,-0.15830421,-0.040521193,0.10025366
0.000279,-0.15789399,-0.04152412,0.1003302
0.00028,-0.15747373,-0.042527787,0.100401476
