Time,y,x
0.00157,-1.0334178,0.76154035
0.00158,-1.0321532,0.7512124
0.00159,-1.0308442,0.7408974
0.0016,-1.0294918,0.7305957
0.00161,-1.0280967,0.7203077
0.00162,-1.0266596,0.7100339
0.00163,-1.0251817,0.6997747
0.00164,-1.0236634,0.6895304
0.00165,-1.0221057,0.6793015
0.00166,-1.0205094,0.6690884
0.00167,-1.0188752,0.65889144
0.00168,-1.017204,0.648711
0.00169,-1.0154967,0.6385475
0.0017,-1.0137541,0.6284012
0.00171,-1.0119768,0.61827254
0.00172,-1.0101658,0.60816175
0.00173,-1.0083219,0.5980693
0.00174,-1.0064458,0.5879954
0.00175,-1.0045383,0.57794046
0.00176,-1.0026003,0.5679048
0.00177,-1.0006326,0.55788857
0.00178,-0.99863607,0.5478922
0.00179,-0.99661136,0.53791595
0.0018,-0.99455935,0.52796006
0.00181,-0.9924809,0.51802486
0.00182,-0.99037665,0.5081105
0.00183,-0.98824763,0.4982174
0.00184,-0.9860945,0.48834568
0.00185,-0.9839181,0.4784956
0.00186,-0.98171914,0.4686674
0.00187,-0.9794986,0.4588613
0.00188,-0.9772572,0.4490775
0.00189,-0.9749957,0.4393162
0.0019,-0.9727149,0.42957765
0.00191,-0.97041565,0.41986197
0.00192,-0.96809876,0.4101694
0.00193,-0.96576494,0.40050006
0.00194,-0.9634151,0.39085415
0.00195,-0.96104985,0.3812318
0.00196,-0.9586702,0.3716332
0.00197,-0.9562768,0.36205846
0.00198,-0.9538704,0.3525077
0.00199,-0.9514519,0.34298107
0.002,-0.949022,0.33347872
0.00201,-0.94658154,0.3240007
0.00202,-0.94413126,0.31454712
0.00203,-0.9416719,0.30511808
0.00204,-0.9392043,0.29571372
0.00205,-0.93672913,0.28633404
0.00206,-0.93424726,0.27697915
0.00207,-0.93175936,0.2676491
0.00208,-0.9292662,0.258344
0.00209,-0.9267686,0.24906382
0.0021,-0.9242673,0.23980863
0.00211,-0.92176294,0.23057848
0.00212,-0.9192564,0.2213734
0.00213,-0.9167482,0.21219337
0.00214,-0.91423935,0.20303844
0.00215,-0.91173035,0.19390859
0.00216,-0.909222,0.18480383
0.00217,-0.9067151,0.17572415
0.00218,-0.90421015,0.16666953
0.00219,-0.90170807,0.15763995
0.0022,-0.89920944,0.14863537
0.00221,-0.8967149,0.13965575
0.00222,-0.89422524,0.13070107
0.00223,-0.8917411,0.12177124
0.00224,-0.88926315,0.11286623
0.00225,-0.88679206,0.10398596
0.00226,-0.8843285,0.09513037
0.00227,-0.881873,0.08629937
0.00228,-0.87942636,0.077492885
0.00229,-0.8769891,0.06871083
0.0023,-0.87456197,0.059953082
0.00231,-0.8721454,0.051219556
0.00232,-0.8697401,0.04251014
