Time,x1,x2,z
0.0575,0.001583354,0.00067032845,2.9166656
0.058,0.0016058912,0.0006903791,2.9333322
0.0585,0.0016294626,0.00071109855,2.9499989
0.059,0.0016541056,0.00073251134,2.9666655
0.0595,0.0016798589,0.0007546433,2.9833322
0.06,0.0017067684,0.0007775258,2.9999988
0.0605,0.0017348757,0.00080118707,3.0166655
0.061,0.0017642241,0.0008256569,3.033332
0.0615,0.00179486,0.00085096725,3.0499988
0.062,0.0018268313,0.00087715173,3.0666654
0.0625,0.001860188,0.0009042453,3.083332
0.063,0.0018949837,0.0009322861,3.0999987
0.0635,0.0019312821,0.00096131954,3.1166654
0.064,0.0019691356,0.000991383,3.133332
0.0645,0.0020086044,0.0010225197,3.1499987
0.065,0.0020497516,0.0010547752,3.1666653
0.0655,0.0020926427,0.0010881968,3.183332
0.066,0.002137346,0.0011228343,3.1999986
0.0665,0.0021839414,0.0011587461,3.2166653
0.067,0.0022325076,0.0011959895,3.2333317
0.0675,0.0022831198,0.0012346201,3.2499983
0.068,0.0023358618,0.0012746991,3.266665
0.0685,0.0023908198,0.0013162905,3.2833316
0.069,0.0024480852,0.0013594612,3.2999983
0.0695,0.0025077525,0.0014042817,3.316665
0.07,0.0025699434,0.0014508422,3.3333313
0.0705,0.0026347516,0.0014992126,3.349998
0.071,0.0027022886,0.0015494754,3.3666646
0.0715,0.0027726705,0.0016017172,3.3833313
0.072,0.0028460186,0.0016560286,3.399998
0.0725,0.00292246,0.0017125042,3.4166644
0.073,0.0030021393,0.0017712524,3.433331
0.0735,0.003085211,0.0018323883,3.4499977
0.074,0.0031718127,0.0018960155,3.466664
0.0745,0.0032621017,0.0019622508,3.4833307
0.075,0.0033562407,0.002031217,3.4999974
0.0755,0.0034544012,0.002103042,3.5166638
0.076,0.0035567784,0.0021778748,3.5333304
0.0765,0.0036635748,0.0022558677,3.5499969
0.077,0.003774981,0.0023371642,3.5666635
0.0775,0.0038912084,0.0024219237,3.58333
0.078,0.0040124785,0.0025103134,3.5999963
0.0785,0.00413903,0.0026025134,3.616663
0.079,0.0042711403,0.0026987353,3.6333294
0.0795,0.0044090543,0.0027991638,3.6499958
0.08,0.004553048,0.0029040077,3.6666625
0.0805,0.00470341,0.0030134863,3.6833289
0.081,0.004860443,0.0031278296,3.6999953
0.0815,0.005024499,0.0032473044,3.7166617
0.082,0.0051959087,0.003372162,3.733328
0.0825,0.0053750277,0.0035026728,3.7499943
0.083,0.0055622314,0.0036391227,3.7666607
0.0835,0.0057579177,0.0037818137,3.783327
0.084,0.0059625483,0.0039310986,3.7999933
0.0845,0.0061765485,0.004087302,3.8166595
0.085,0.006400388,0.004250781,3.8333259
