Time,v1,v2,vRL
1.24e-05,2.6602685,-1.849485,0.3300301
1.25e-05,2.6778696,-1.8607389,0.33511803
1.26e-05,2.6957083,-1.8722196,0.33901247
1.27e-05,2.713722,-1.8838648,0.34174114
1.28e-05,2.73185,-1.8956132,0.34333503
1.29e-05,2.750033,-1.9074059,0.34382823
1.3e-05,2.7682137,-1.9191854,0.34325773
1.31e-05,2.786337,-1.9308965,0.34166315
1.32e-05,2.8043497,-1.9424863,0.3390865
1.33e-05,2.8222013,-1.9539042,0.335572
1.34e-05,2.8398428,-1.9651018,0.3311657
1.35e-05,2.8572288,-1.9760334,0.32591537
1.36e-05,2.8743157,-1.9866562,0.3198702
1.37e-05,2.891063,-1.9969294,0.31308064
1.38e-05,2.9074326,-2.0068157,0.30559802
1.39e-05,2.923389,-2.0162797,0.29747453
1.4e-05,2.9388998,-2.0252898,0.28876284
1.41e-05,2.9539351,-2.0338163,0.27951595
1.42e-05,2.9684684,-2.041833,0.26978695
1.43e-05,2.9824753,-2.0493162,0.25962886
1.44e-05,2.9959347,-2.056245,0.24909444
1.45e-05,3.008828,-2.0626016,0.23823589
1.46e-05,3.0211391,-2.0683706,0.22710489
1.47e-05,3.0328553,-2.0735397,0.2157522
1.48e-05,3.043966,-2.0780988,0.20422767
1.49e-05,3.0544636,-2.0820408,0.19257998
1.5e-05,3.064343,-2.0853608,0.18085662
1.51e-05,3.0736008,-2.0880568,0.16910356
1.52e-05,3.0822372,-2.0901291,0.15736537
1.53e-05,3.0902538,-2.0915802,0.14568493
1.54e-05,3.0976548,-2.0924144,0.13410342
1.55e-05,3.1044466,-2.092639,0.122660145
1.56e-05,3.1106374,-2.0922627,0.11139258
1.57e-05,3.1162376,-2.0912964,0.100336164
1.58e-05,3.1212592,-2.0897527,0.08952434
1.59e-05,3.1257157,-2.0876458,0.07898843
1.6e-05,3.129623,-2.0849915,0.06875765
1.61e-05,3.1329975,-2.0818071,0.05885904
1.62e-05,3.1358578,-2.078112,0.049317453
1.63e-05,3.1382232,-2.0739253,0.04015553
1.64e-05,3.140114,-2.0692687,0.031393737
1.65e-05,3.1415527,-2.064164,0.023050288
1.66e-05,3.1425612,-2.058634,0.01514124
1.67e-05,3.143163,-2.052703,0.007680444
1.68e-05,3.1433823,-2.0463948,0.00067962304
1.69e-05,3.1432436,-2.0397346,-0.0058516455
1.7e-05,3.1427717,-2.032748,-0.011905836
1.71e-05,3.1419926,-2.0254602,-0.017477486
1.72e-05,3.1409314,-2.0178974,-0.022563089
1.73e-05,3.1396139,-2.0100856,-0.027161088
1.74e-05,3.1380663,-2.0020509,-0.031271767
1.75e-05,3.136314,-1.9938189,-0.03489723
1.76e-05,3.1343822,-1.9854156,-0.038041282
1.77e-05,3.1322973,-1.9768664,-0.0407094
1.78e-05,3.1300833,-1.9681965,-0.042908613
1.79e-05,3.1277652,-1.9594306,-0.04464746
1.8e-05,3.1253672,-1.9505926,-0.045935858
1.81e-05,3.1229126,-1.9417065,-0.04678508
