Time,hares,foxes
255,572.755,14.100214
256,592.0664,13.26736
257,612.2743,12.4960375
258,633.40704,11.781727
259,655.49445,11.120255
260,678.5681,10.507777
261,702.66095,9.940746
262,727.80786,9.415896
263,754.04504,8.930221
264,781.41064,8.480952
265,809.94434,8.065548
266,839.6876,7.681673
267,870.68384,7.3271847
268,902.978,7.000121
269,936.61707,6.6986876
270,971.6499,6.4212475
271,1008.12714,6.166311
272,1046.1016,5.932526
273,1085.6278,5.7186728
274,1126.7627,5.523655
275,1169.565,5.3464932
276,1214.0955,5.1863236
277,1260.4172,5.042391
278,1308.5953,4.914047
279,1358.697,4.8007493
280,1410.7917,4.70206
281,1464.9509,4.6176486
282,1521.248,4.5472903
283,1579.7588,4.4908743
284,1640.5604,4.4484057
285,1703.7324,4.420015
286,1769.3557,4.4059677
287,1837.5128,4.4066777
288,1908.2875,4.422721
289,1981.7644,4.454857
290,2058.0286,4.504055
291,2137.1655,4.571521
292,2219.2598,4.6587358
293,2304.3948,4.7675033
294,2392.6519,4.900003
295,2484.1082,5.0588613
296,2578.837,5.2472353
297,2676.904,5.4689183
298,2778.3667,5.7284703
299,2883.2705,6.0313754
300,2991.6455,6.3842473
301,3103.5024,6.795074
302,3218.8276,7.2735314
303,3337.5752,7.831374
304,3459.6597,8.482925
305,3584.945,9.24569
306,3713.2312,10.141136
307,3844.2383,11.195662
308,3977.5852,12.441818
309,4112.763,13.9198475
310,4249.104,15.67958
311,4385.7397,17.782791
312,4521.5527,20.306068
313,4655.1147,23.344217
314,4784.617,27.014235
315,4907.7876,31.459652
316,5021.7993,36.85496
317,5123.18,43.40937
318,5207.735,51.36865
319,5270.504,61.012936
320,5305.799,72.64761
321,5307.362,86.583
322,5268.7173,103.09863
323,5183.772,122.38877
324,5047.678,144.48988
325,4857.9023,169.19875
326,4615.3086,196.00053
327,4324.942,224.03593
328,3996.1475,252.13615
329,3641.8015,278.93936
330,3276.7024,303.07196
331,2915.529,323.34863
332,2570.9453,338.93265
333,2252.344,349.4151
334,1965.4269,354.80405
335,1712.5098,355.4453
336,1493.2585,351.91116
337,1305.5575,344.88937
338,1146.2932,335.0932
339,1011.95703,323.1991
340,899.0495,309.8107
341,804.3169,295.44308
342,724.8661,280.52072
343,658.19946,265.38342
344,602.2031,250.29625
345,555.1118,235.46074
346,515.4638,221.02597
347,482.05536,207.09846
348,453.8978,193.75085
349,430.18005,181.02914
350,410.23672,168.95863
351,393.52127,157.54883
352,379.584,146.79723
353,368.0542,136.69249
354,358.62552,127.21679
355,351.04428,118.347725
356,345.09998,110.059845
357,340.61752,102.32576
358,337.45117,95.11702
359,335.47937,88.404816
360,334.60077,82.16045
361,334.73087,76.35575
362,335.79932,70.963295
363,337.7477,65.956665
364,340.52786,61.310516
365,344.10013,57.000717
366,348.4323,53.004353
367,353.49866,49.299767
368,359.27893,45.86654
369,365.75772,42.685482
370,372.92395,39.7386
371,380.7703,37.009052
372,389.29285,34.4811
373,398.4907,32.140057
374,408.36566,29.972242
375,418.92218,27.964924
376,430.16693,26.106266
377,442.1088,24.385271
378,454.75864,22.791737
379,468.12933,21.316198
380,482.23544,19.949883
381,497.09335,18.68467
382,512.7212,17.513035
383,529.1386,16.428024
384,546.36694,15.4232
385,564.42914,14.492616
386,583.3497,13.630775
387,603.15454,12.8326025
388,623.87146,12.093411
389,645.52954,11.408878
390,668.15955,10.775015
391,691.79395,10.188144
392,716.46655,9.644876
393,742.21313,9.142092
394,769.071,8.67692
395,797.079,8.24672
396,826.27783,7.8490653
397,856.71014,7.481729
398,888.42004,7.142671
399,921.45374,6.830023
400,955.8591,6.5420794
401,991.6861,6.2772856
402,1028.9865,6.03423
403,1067.8141,5.8116345
404,1108.2249,5.6083474
405,1150.2765,5.4233394
406,1194.0289,5.2556944
407,1239.5443,5.10461
408,1286.8868,4.96939
409,1336.1227,4.8494453
410,1387.3203,4.744292
411,1440.5503,4.6535497
412,1495.8853,4.5769477
413,1553.3998,4.514323
414,1613.1705,4.4656286
415,1675.276,4.4309382
416,1739.7966,4.4104557
417,1806.814,4.404526
418,1876.4115,4.4136524
419,1948.6733,4.438509
420,2023.6846,4.4799676
421,2101.5305,4.5391254
422,2182.2961,4.6173353
423,2266.0654,4.7162514
424,2352.921,4.837877
425,2442.942,4.98463
426,2536.2034,5.1594205
427,2632.775,5.365743
428,2732.7175,5.6077976
429,2836.0828,5.890635
430,2942.9077,6.220338
431,3053.2126,6.6042466
432,3166.9954,7.0512414
433,3284.2253,7.5720973
434,3404.836,8.179924
435,3528.7148,8.890723
436,3655.6929,9.724089
437,3785.5276,10.704086
438,3917.8857,11.860355
439,4052.3196,13.229498
440,4188.2363,14.856809
441,4324.8623,16.798418
442,4461.198,19.123922
443,4595.9624,21.919544
444,4727.5254,25.291876
445,4853.832,29.372063
446,4972.314,34.320274
447,5079.798,40.329865
448,5172.4194,47.630272
449,5245.56,56.48695
450,5293.846,67.19578
451,5311.2417,80.068245
452,5291.3115,95.4032
453,5227.6997,113.44087
454,5114.882,134.29794
455,4949.1523,157.88809
456,4729.7397,183.8425
457,4459.7617,211.4557
458,4146.6875,239.68733
459,3801.973,267.24225
460,3439.7988,292.7272
461,3075.154,314.84955
462,2721.8022,332.6019
463,2390.6963,345.38086
464,2089.183,353.01517
465,1821.0148,355.71274
466,1586.9329,353.95926
467,1385.5105,348.4037
468,1213.9924,339.75732
469,1068.985,328.71893
470,946.9463,315.92755
471,844.49286,301.9387
472,758.5626,287.2168
473,686.48096,272.1384
474,625.96625,257.0005
475,575.10315,242.03156
476,532.3004,227.40271
477,496.24472,213.23831
478,465.85657,199.62512
479,440.25,186.62021
480,418.6983,174.25743
481,400.60492,162.55281
482,385.47943,151.50877
483,372.91788,141.11758
484,362.58685,131.36404
485,354.2105,122.22758
486,347.56015,113.683945
487,342.4457,105.70649
488,338.70908,98.26714
489,336.21848,91.33718
490,334.86395,84.8878
491,334.5539,78.89057
492,335.21198,73.317696
493,336.7747,68.14229
494,339.18948,63.338516
495,342.41306,58.881702
496,346.41006,54.748383
497,351.152,50.916336
498,356.61624,47.364597
499,362.78528,44.073433
500,369.64624,41.024323
501,377.19016,38.19991
502,385.4116,35.583973
503,394.30838,33.161366
504,403.88113,30.917967
505,414.1332,28.840624
506,425.07022,26.91711
507,436.70016,25.136063
508,449.033,23.486927
509,462.08072,21.959915
510,475.85712,20.545958
511,490.37784,19.236643
512,505.6602,18.024189
513,521.72314,16.901392
514,538.58734,15.8615885
515,556.27496,14.898619
516,574.8098,14.006787
517,594.2172,13.180838
518,614.5241,12.415911
519,635.75903,11.707527
520,657.95197,11.05155
521,681.1346,10.444168
522,705.3402,9.8818655
523,730.60364,9.361405
524,756.9615,8.879807
525,784.4519,8.434332
526,813.1149,8.022457
527,842.9921,7.6418695
528,874.127,7.2904477
529,906.5649,6.9662476
530,940.3529,6.6674933
531,975.54,6.392564
532,1012.1772,6.139984
533,1050.3174,5.9084187
534,1090.0155,5.6966596
535,1131.3285,5.5036235
536,1174.3154,5.3283453
537,1219.0374,5.169972
538,1265.5574,5.0277596
539,1313.9412,4.9010725
540,1364.2559,4.7893796
541,1416.5712,4.692254
542,1470.9589,4.6093764
543,1527.4927,4.540535
544,1586.2482,4.48563
545,1647.3033,4.444681
546,1710.7375,4.4178324
547,1776.632,4.4053645
548,1845.0691,4.407708
549,1916.133,4.4254584
550,1989.9083,4.459397
551,2066.4802,4.5105157
552,2145.9343,4.5800495
553,2228.3545,4.669512
554,2313.8247,4.780744
555,2402.4253,4.9159713
556,2494.2334,5.0778723
557,2589.3215,5.2696686
558,2687.7546,5.49523
559,2789.5889,5.7592072
560,2894.8682,6.0671988
561,3003.621,6.4259524
562,3115.8557,6.8436236
563,3231.5552,7.3300943
564,3350.6697,7.8973722
565,3473.1091,8.560093
566,3598.731,9.336152
567,3727.3276,10.247502
568,3858.6091,11.321143
569,3992.1814,12.590384
570,4127.521,14.096406
571,4263.9395,15.890218
572,4400.5444,18.035053
573,4536.188,20.6093
574,4669.404,23.709978
575,4798.3374,27.456743
576,4920.66,31.996284
577,5033.48,37.506702
578,5133.2495,44.201138
579,5215.6914,52.329277
580,5275.764,62.17462
581,5307.706,74.044304
582,5305.215,88.24733
583,5261.823,105.05698
584,5171.5264,124.65414
585,5029.6733,147.05325
586,4834.051,172.0203
587,4585.9473,199.00363
588,4290.8833,227.10724
589,3958.642,255.1343
590,3602.3982,281.7121
591,3237.038,305.47812
592,2877.1057,325.27826
593,2534.9556,340.32016
594,2219.5854,350.2422
595,1936.3041,355.09378
596,1687.0988,355.251
597,1471.4005,351.30374
598,1286.9498,343.94644
599,1130.5651,333.89087
600,998.7225,321.80685
601,887.94025,308.2889
602,795.0001,293.84216
603,717.05133,278.8815
604,651.63904,263.7381
605,596.6893,248.66959
606,550.47186,233.87128
607,511.55545,219.48715
608,478.7615,205.61967
609,451.12238,192.33827
610,427.84433,179.68639
611,408.27603,167.68744
612,391.88242,156.34944
613,378.2232,145.6688
614,366.93533,135.63335
615,357.71866,126.22468
616,350.32465,117.42002
617,344.54697,109.19364
618,340.21402,101.518005
619,337.18286,94.36459
620,335.33435,87.70458
621,334.5691,81.50932
622,334.80423,75.7507
623,335.9709,70.40141
624,338.01178,65.435135
625,340.87973,60.826668
626,344.53598,56.551994
627,348.94904,52.588345
628,354.0938,48.914192
629,359.95062,45.509254
630,366.50458,42.35448
631,373.745,39.431995
632,381.66495,36.725082
633,390.26083,34.21812
634,399.5321,31.896534
635,409.48087,29.746748
636,420.11182,27.756132
637,431.43182,25.912941
638,443.45007,24.206268
639,456.1776,22.625992
640,469.62744,21.162725
641,483.81445,19.807772
642,498.75513,18.553074
643,514.4678,17.391172
644,530.9722,16.315172
645,548.2901,15.318688
646,566.44434,14.395827
647,585.45966,13.541139
648,605.3623,12.749591
649,626.18005,12.016539
650,647.94226,11.337694
651,670.6799,10.709106
652,694.4254,10.127129
653,719.213,9.588403
654,745.07855,9.089838
655,772.05945,8.628588
656,800.1948,8.202035
657,829.5257,7.807777
658,860.09467,7.443607
659,891.9462,7.107504
660,925.1266,6.7976184
661,959.684,6.5122614
662,995.66864,6.249894
663,1033.1324,6.00912
664,1072.1294,5.788675
665,1112.7156,5.587421
666,1154.9491,5.4043403
667,1198.8901,5.238531
668,1244.601,5.0892015
669,1292.146,4.9556675
670,1341.5918,4.8373513
671,1393.0068,4.7337794
672,1446.462,4.644585
673,1502.0302,4.569507
674,1559.7863,4.5083966
675,1619.8069,4.461218
676,1682.171,4.428059
677,1746.9589,4.409139
678,1814.2527,4.404819
679,1884.1356,4.415619
680,1956.6921,4.442234
681,2032.0073,4.48556
682,2110.1665,4.5467186
683,2191.2544,4.627094
684,2275.3555,4.728375
685,2362.551,4.852608
686,2452.9207,5.00226
687,2546.5386,5.180299
688,2643.4736,5.3902903
689,2743.786,5.6365185
690,2847.5254,5.924137
691,2954.728,6.259354
692,3065.4116,6.6496625
693,3179.571,7.1041303
694,3297.172,7.6337624
695,3418.144,8.251954
696,3542.3691,8.975061
697,3669.6704,9.823117
698,3799.7974,10.820735
699,3932.405,11.998239
700,4067.0312,13.3930855
701,4203.066,15.051637
702,4339.713,17.03135
703,4475.9453,19.403461
704,4610.447,22.256226
705,4741.5454,25.698687
706,4867.1353,29.86493
707,4984.587,34.918545
708,5090.655,41.056698
709,5181.395,48.512825
710,5252.107,57.55609
711,5297.3364,68.48497
712,5310.9893,81.61125
713,5286.61,97.229965
714,5217.893,115.57138
715,5099.459,136.73413
716,4927.869,160.60481
717,4702.732,186.77989
718,4427.6304,214.51616
719,4110.5,242.74013
720,3763.1697,270.1373
721,3400.008,295.3155
722,3035.965,317.0049
723,2684.5632,334.2379
724,2356.3867,346.45837
725,2058.3782,353.53995
726,1793.9268,355.72623
727,1563.4956,353.5261
728,1365.4746,347.5998
729,1197.0094,338.66034
730,1054.6699,327.40182
731,934.9197,314.45505
732,834.40424,300.36566
733,750.1019,285.58838
734,679.38135,270.4905
735,620.00244,255.36107
736,570.0873,240.42177
737,528.077,225.8382
738,492.68594,211.73015
739,462.85733,198.18083
740,437.72418,185.24448
741,416.5752,172.95277
742,398.82645,161.3201
743,383.99783,150.34758
744,371.69376,140.0266
745,361.58762,130.34122
746,353.4092,121.27045
747,346.9344,112.7897
748,341.97687,104.87214
749,338.38165,97.48957
750,336.0195,90.61326
751,334.78265,84.21442
752,334.5813,78.26465
753,335.34058,72.736275
754,336.99832,67.60251
755,339.503,62.837635
756,342.81226,58.417107
757,346.89154,54.317596
758,351.71298,50.51702
759,357.25464,46.994545
760,363.49948,43.73057
761,370.43506,40.70671
762,378.05286,37.90573
763,386.3478,35.311527
