Time,x1,x2,z
0.06,5.0960445,3.5276642,2.1821368
0.0605,5.275324,3.4312296,1.4678929
0.061,5.3417807,3.1801775,0.77437526
0.0615,5.310499,2.7869837,0.15058711
0.062,5.2112026,2.2802465,-0.36549622
0.0625,5.078889,1.6961452,-0.7514848
0.063,4.9447136,1.0704107,-0.9993587
0.0635,4.830135,0.43378124,-1.110992
0.064,4.744766,-0.18880406,-1.0935162
0.0645,4.686889,-0.7767352,-0.9564251
0.065,4.645498,-1.3117803,-0.7108394
0.0655,4.6032615,-1.7770025,-0.37035507
0.066,4.5402107,-2.1571991,0.047606528
0.0665,4.437869,-2.4407647,0.52112985
0.067,4.2831454,-2.6221426,1.0246851
0.0675,4.070972,-2.7036362,1.5316767
0.068,3.8048506,-2.6955416,2.0178907
0.0685,3.4952343,-2.614374,2.4645684
0.069,3.1565232,-2.4798641,2.8600576
0.0695,2.8038554,-2.3118234,3.19974
0.07,2.4506278,-2.1277783,3.4846663
0.0705,2.107139,-1.9417282,3.719635
0.071,1.7802373,-1.7639034,3.9113533
0.0715,1.4736285,-1.6011698,4.067027
0.072,1.1884878,-1.457726,4.193451
0.0725,0.92412573,-1.3358433,4.2965274
0.073,0.67857295,-1.2365155,4.3810825
0.0735,0.4490333,-1.1599717,4.4508543
0.074,0.23220696,-1.1060508,4.5085726
0.0745,0.024504928,-1.0744615,4.5560555
0.075,-0.17781596,-1.064949,4.594305
0.0755,-0.37857035,-1.0773938,4.623569
0.076,-0.58158845,-1.1118511,4.6433682
0.0765,-0.7906645,-1.1685405,4.6524816
0.077,-1.0094857,-1.2477798,4.6488976
0.0775,-1.2415172,-1.3498539,4.6297293
0.078,-1.4898149,-1.4747968,4.591117
0.0785,-1.7567341,-1.6220653,4.5281444
0.079,-2.0435066,-1.7900776,4.4348183
0.0795,-2.3496706,-1.9756078,4.3041987
0.08,-2.6723838,-2.1730676,4.1287885
0.0805,-3.0057147,-2.3737793,3.901321
0.081,-3.3401346,-2.5654612,3.6160462
0.0815,-3.6625395,-2.732265,3.2704947
0.082,-3.9571884,-2.8557544,2.8674505
0.0825,-4.2077847,-2.9170551,2.416548
0.083,-4.400497,-2.8999794,1.934706
0.0835,-4.5271316,-2.794335,1.4447846
0.084,-4.587282,-2.5982502,0.9725077
0.0845,-4.588504,-2.318571,0.5425289
0.085,-4.544388,-1.9692018,0.1749794
0.0855,-4.471298,-1.5681756,-0.1164489
0.086,-4.3849654,-1.134626,-0.32463893
0.0865,-4.297875,-0.68658054,-0.4479089
